ROW_NUMBER,MISSION_NUMBER,OP_ORDER,UNIT,AIRCRAFT_TYPE_MDS,NBR_ATTACK_EFFEC_AIRCRAFT,SORTIE_DUPE,NBR_ABORT_AIRCRAFT,NBR_LOST_AIRCRAFT,TARGET_NAME,TGT_TYPE,SOURCE_UTM_JAPAN_B,SOURCE_TGT_UTM,TGT_MGRS,TGT_LATITUDE_WGS84,TGT_LONGITUDE_WGS84,SOURCE_TGT_LAT,SOURCE_TGT_LONG,NBR_OF_WEAPONS,WEAPONS_TYPE,BOMB_SIGHTING_METHOD,TOTAL_BOMBLOAD_IN_LBS,TOT,MISSION_TYPE,ALTITUDE_FT,CALLSIGN,BDA,NOSE_FUZE,TAIL_FUZE,CALCULATED_BOMBLOAD_LBS,RECORD_SOURCE,DAY,MONTH,YEAR,MISSION_DATE,City/Town,geometry,In_Land
46,434,175-51,91st Strategic Recon Sq,,2.0,,1.0,,BCA-1-6-1,Railroad bridge,,XD 7794,51SXD7794,39.6775,125.06382,,,,,,,,Recon,24000,,"""Photographic coverage of mapping lines 64, 66, 69, 70, 72, and 68 from 127-06E to east end.""",,,,EXETER,2,6,1951,1951-06-02,Chojangri,POINT (125.06382 39.6775),True
47,434,175-51,91st Strategic Recon Sq,,1.0,1.0,,,BCA-1-6-2,Railroad bridge,,BA 9419,52SBL9419,40.79618,126.5582,,,,,,,,Recon,,,,,,,EXETER,2,6,1951,1951-06-02,Songgan-up,POINT (126.5582 40.79618),True
48,434,175-51,91st Strategic Recon Sq,,1.0,1.0,,,BCA-1-6-3,Railroad bridge,,YD 1993,51SYD1993,39.65877,125.55279,,,,,,,,Recon,,,,,,,EXETER,2,6,1951,1951-06-02,Colonel Lee,POINT (125.55279 39.65877),True
49,435,176-51,98th Bomb Wing,B-29,1.0,,,,,Railroad bridge,,YC 5360,51SYC5360,38.45245,125.89926,,,2,2000 GP,Shoran radar,,,Interdiction,16900,,"""Aircraft experienced a """"Shoran radar"""" equipment malfunction and proceeded to a secondary target. Weather in target area was 8/10 undercast.""",0.1,Non-delay,4000.0,EXETER,3,6,1951,1951-06-03,Gacheon-ri,POINT (125.89926 38.45245),True
50,435,176-51,307th Bomb Wing,B-29,1.0,1.0,,,,Jettisoned,,,,38.82022220588235,126.87646220588236,3905N,12625E,4,2000 GP,,,,,,,,0.1,Non-delay,8000.0,EXETER,3,6,1951,1951-06-03,North Korea,POINT (126.87646220588236 38.82022220588235),True
51,435,176-51,98th Bomb Wing,B-29,1.0,1.0,,,Sariwon,Marshalling yards,,YC 3965,51SYC3965,38.50132,125.74071,,,6,2000 GP,Radar,,,Interdiction,16900,,Weather in target area was 8/10 undercast.,0.1,Non-delay,12000.0,EXETER,3,6,1951,1951-06-03,Sariwon-si,POINT (125.74071 38.50132),True
52,435,176-51,307th Bomb Wing,B-29,1.0,1.0,,,,Jettisoned,,,,38.82022220588235,126.87646220588236,2910N,12800E,8,2000 GP,,,,,,,,0.1,Non-delay,16000.0,EXETER,3,6,1951,1951-06-03,North Korea,POINT (126.87646220588236 38.82022220588235),True
53,435,176-51,307th Bomb Wing,B-29,6.0,,1.0,,Hamhung,Railroad bridge,,CV 7711,52SCK7711,39.84011,127.56241,,,40,2000 GP,Visual,,,Interdiction,18000-18500,,Poor results. Bombs fell to the left of the bridge and no spans were observed to be down.,0.1,Non-delay,80000.0,EXETER,3,6,1951,1951-06-03,Hamhung-si,POINT (127.56241 39.84011),True
54,435,175-51,307th Bomb Wing,B-29,7.0,,,,Yonghung,Railroad bridge,,CU 5079,52SCJ5079,39.54758,127.25425,,,52,2000 GP,Visual,,,Interdiction,19000-19500,,1st flight - bomb pattern missed bridge; 2nd flight - bomb pattern covered west end of the bridge but no spans were observed to be down.,0.1,Non-delay,104000.0,EXETER,3,6,1951,1951-06-03,Kumya-up,POINT (127.25425 39.54758),True
55,435,175-51,307th Bomb Wing,B-29,5.0,,,,,Troop Concentrations,,CT 0719,52SCH0719,38.09821,126.79895,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,3,6,1951,1951-06-03,Kaesong,POINT (126.79895 38.09821),True
56,435,176-51,307th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 1620,52SCH1620,38.1091,126.90126,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,3,6,1951,1951-06-03,Kaesong,POINT (126.90126 38.1091),True
57,435,176-51,307th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 2930,52SCH2930,38.20173,127.04706,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,3,6,1951,1951-06-03,Sinseo-myeon,POINT (127.04706 38.20173),True
58,435,175-51,307th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 2130,52SCH2130,38.20017,126.95575,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,3,6,1951,1951-06-03,Otan-ri,POINT (126.95575 38.20017),True
59,435,175-51,307th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 3751,52SCH3751,38.39237,127.13354,,,10,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,3,6,1951,1951-06-03,Ryonghak-ri,POINT (127.13354 38.39237),True
60,435,176-51,307th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 1731,52SCH1731,38.20837,126.90984,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000.0,EXETER,3,6,1951,1951-06-03,Baekrosanri,POINT (126.90984 38.20837),True
61,435,176-51,307th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 9236,52SCH9236,38.26555,127.76545,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000.0,EXETER,3,6,1951,1951-06-03,Hwacheon,POINT (127.76545 38.26555),True
62,435,175-51,307th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 7436,52SCH7436,38.26321,127.55975,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000.0,EXETER,3,6,1951,1951-06-03,Geunnam-myeon,POINT (127.55975 38.26321),True
63,435,175-51,307th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 5471,52SCH5471,38.57547,127.32395,,,20,500 GP,Visual,,,Interdiction,18000,,2 secondary explosions,VT delay arming action,Non-delay,10000.0,EXETER,3,6,1951,1951-06-03,Seongsan-ri,POINT (127.32395 38.57547),True
64,435,176-51,307th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 5821,52SCH5821,38.12569,127.37992,,,20,500 GP,Visual,,,Interdiction,18000,,4 secondary explosions,VT delay arming action,Non-delay,10000.0,EXETER,3,6,1951,1951-06-03,North Korea,POINT (127.37992 38.12569),True
65,435,176-51,307th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 3327,52SCH3327,38.17545,127.09342,,,20,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000.0,EXETER,3,6,1951,1951-06-03,Sinseo-myeon,POINT (127.09342 38.17545),True
66,435,176-51,307th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 7738,52SCH7738,38.28164,127.59368,,,30,500 GP,Visual,,,Interdiction,18000,,,VT delay arming action,Non-delay,15000.0,EXETER,3,6,1951,1951-06-03,Jinhyeon-ri,POINT (127.59368 38.28164),True
67,435,176-51,91st Strategic Recon Sq,,,,,,"""BCA-2-6-1. Photographic coverage of mapping lines 58, 51, and 67. 10/10 undercast prevailed in the primary target areas, while only 3/10 to 5/10 undercast existed in secondary target areas.""",Railroad bridge by-pass,,XD 7297,51SXD7297,39.70554,125.00633,,,,,,,,Recon,20000-24000,,Poor results due to existing weather conditions.,,,,EXETER,3,6,1951,1951-06-03,Sentence Lee,POINT (125.00633 39.70554),True
68,435,176-51,91st Strategic Recon Sq,,,,,,BCA-2-6-1,Railroad bridge,,BA 8811,52SBL8811,40.72265,126.48985,,,,,,,,Recon,20000-24000,,Poor results due to existing weather conditions.,,,,EXETER,3,6,1951,1951-06-03,Dongsan Labor Union,POINT (126.48985 40.72265),True
69,436,177-51,98th Bomb Wing,B-29,11.0,,1.0,,Sariwon,Marshalling yard,,YC 3966,51SYC3966,38.51032,125.74105,,,0,2000 GP,,,,Interdiction,,,2 dry runs made over target. 1 aircraft had to return to Yokota due to fuel sortage,,,,EXETER,4,6,1951,1951-06-04,Sariwon-si,POINT (125.74105 38.51032),True
70,436,177-51,98th Bomb Wing,B-29,10.0,1.0,,,Yonghung,Supply center,,CU 4978,52SCJ4978,39.5384,127.24284,,,8,2000 GP,Radar,,,Interdiction,20000,,,0.1,Non-delay,16000.0,EXETER,4,6,1951,1951-06-04,Jungnam-ri,POINT (127.24284 39.5384),True
71,436,177-51,98th Bomb Wing,B-29,1.0,1.0,,,,Jettisoned,,,,38.7849823668639,126.93549644970416,3731N,12949E,8,2000 GP,,,,,,,,0.1,Non-delay,16000.0,EXETER,4,6,1951,1951-06-04,North Korea,POINT (126.93549644970416 38.7849823668639),True
72,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,BT 8819,52SBH8819,38.09396,126.58243,,,2,500 GP,Radar,,,Interdiction,18000,,Good results,VT delay arming action,Non-delay,1000.0,EXETER,4,6,1951,1951-06-04,Kaesong,POINT (126.58243 38.09396),True
73,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 2429,52SCH2429,38.19176,126.99024,,,6,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,3000.0,EXETER,4,6,1951,1951-06-04,Jung-myeon,POINT (126.99024 38.19176),True
74,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 3330,52SCH3330,38.20248,127.09272,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,4,6,1951,1951-06-04,Sinseo-myeon,POINT (127.09272 38.20248),True
76,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,DT 1735,52SDH1735,38.2592,128.0513,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,4,6,1951,1951-06-04,Dong-myeon,POINT (128.0513 38.2592),True
77,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,DT 3028,52SDH3028,38.19723,128.20057,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,4,6,1951,1951-06-04,Seohwa-myeon,POINT (128.20057 38.19723),True
78,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 8426,52SCH8426,38.17445,127.67566,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,4,6,1951,1951-06-04,Sangseo,POINT (127.67566 38.17445),True
79,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 8530,52SCH8530,38.21062,127.68643,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,4,6,1951,1951-06-04,Sangseo,POINT (127.68643 38.21062),True
80,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 8330,52SCH8330,38.21037,127.66359,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,4,6,1951,1951-06-04,Sangseo,POINT (127.66359 38.21037),True
81,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 7341,52SCH7341,38.30812,127.54742,,,10,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,4,6,1951,1951-06-04,Geundong-myeon,POINT (127.54742 38.30812),True
82,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 3329,52SCH3329,38.19347,127.09295,,,12,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,6000.0,EXETER,4,6,1951,1951-06-04,Sinseo-myeon,POINT (127.09295 38.19347),True
83,436,177-51,98th Bomb Wing,B-29,5.0,,,,,Troop Concentrations,,DT 1426,52SDH1426,38.17782,128.01811,,,20,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000.0,EXETER,4,6,1951,1951-06-04,Yanggu-eup,POINT (128.01811 38.17782),True
84,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,DT 1330,52SDH1330,38.21377,128.0062,,,20,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000.0,EXETER,4,6,1951,1951-06-04,Bangsan-myeon,POINT (128.0062 38.21377),True
85,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,DT 3121,52SDH3121,38.13422,128.21267,,,20,500 GP,Radar,,,Interdiction,18000,,,VT delay arming action,Non-delay,10000.0,EXETER,4,6,1951,1951-06-04,Buk-myeon,POINT (128.21267 38.13422),True
