ROW_NUMBER,MISSION_NUMBER,OP_ORDER,UNIT,AIRCRAFT_TYPE_MDS,NBR_ATTACK_EFFEC_AIRCRAFT,SORTIE_DUPE,NBR_ABORT_AIRCRAFT,NBR_LOST_AIRCRAFT,TARGET_NAME,TGT_TYPE,SOURCE_UTM_JAPAN_B,SOURCE_TGT_UTM,TGT_MGRS,TGT_LATITUDE_WGS84,TGT_LONGITUDE_WGS84,SOURCE_TGT_LAT,SOURCE_TGT_LONG,NBR_OF_WEAPONS,WEAPONS_TYPE,BOMB_SIGHTING_METHOD,TOTAL_BOMBLOAD_IN_LBS,TOT,MISSION_TYPE,ALTITUDE_FT,CALLSIGN,BDA,NOSE_FUZE,TAIL_FUZE,CALCULATED_BOMBLOAD_LBS,RECORD_SOURCE,DAY,MONTH,YEAR,MISSION_DATE,City/Town
86,436,177-51,98th Bomb Wing,B-29,5.0,1.0,,,,Troop Concentrations,,CT 2730,52SCH2730,38.20134,127.02423,,,38,500 GP,Radar,,,Interdiction,18000,,Ground controller reported direct hits on the target.,VT delay arming action,Non-delay,19000.0,EXETER,4,6,1951,1951-06-04,Jung-myeon
87,437,178-51,19th Bomb Group,B-29,1.0,1.0,,,,Jettisoned,,,,,,3628N,12549E,1,2000 GP,,,,,,,,0.01,Non-delay,2000.0,EXETER,5,6,1951,1951-06-05,Unknown
88,437,178-51,19th Bomb Group,B-29,1.0,1.0,,,,Jettisoned,,,,,,2815N,12515E,1,2000 GP,,,,,,,,0.01,Non-delay,2000.0,EXETER,5,6,1951,1951-06-05,Unknown
89,437,178-51,19th Bomb Group,B-29,1.0,1.0,,,Hamhung,Supply center,,CV 7418,52SCK7418,39.90272,127.52601,,,8,2000 GP,Radar,,,Interdiction,14000 - 15500,,7/10 to 8/10 cloud coverage prevailed. Unobserved results due to weather conditions.,0.1,Non-delay,16000.0,EXETER,5,6,1951,1951-06-05,Hamhung-si
90,437,178-51,98th Bomb Wing,B-29,1.0,,,,Sariwon,Railroad bridge,,YC 3966,51SYC3966,38.51032,125.74105,,,8,2000 GP,Shoran radar,,050030z,Interdiction,17000 -25000,,,0.1,VD tail fuzing,16000.0,EXETER,5,6,1951,1951-06-05,Sariwon-si
91,437,178-51,19th Bomb Group,B-29,11.0,,1.0,,Chinnampo,Marshalling yard,,YC 1090,51SYC1090,38.73373,125.41599,,,78,2000 GP,Visual with radar assistance,,,Interdiction,,,Crew believe the bombs fell over and to the right of the yards with some hits in the dock area. Weather precluded other observance.,0.1,Non-delay,156000.0,EXETER,5,6,1951,1951-06-05,Nampo
92,437,178-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop concentrations,,CT 2634,52SCH2634,38.23718,127.01184,,,8,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,4000.0,EXETER,5,6,1951,1951-06-05,Geunnam-myeon
93,437,178-51,19th Bomb Group,B-29,5.0,,,,,Supply dump,,BT 9921,52SBH9921,38.11448,126.70721,,,10,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,5,6,1951,1951-06-05,Kaesong
94,437,178-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop concentrations,,CT 8929,52SCH8929,38.20212,127.73226,,,10,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,5,6,1951,1951-06-05,Hwacheon
95,437,178-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop concentrations,,CT 8930,52SCH8930,38.21113,127.73211,,,10,500 GP,,,,Interdiction,18000,,,VT delay arming action,Non-delay,5000.0,EXETER,5,6,1951,1951-06-05,Hwacheon
96,437,178-51,19th Bomb Group,B-29,5.0,1.0,,,,Troop concentrations,,DT 1237,52SDH1237,38.27675,127.99391,,,10,500 GP,,,,Interdiction,18000,,Good results,VT delay arming action,Non-delay,5000.0,EXETER,5,6,1951,1951-06-05,Dong-myeon
